Financial Instrument,index,Last,Position,Avg Price,Cost Basis,Unrealized P&L,Market Value,% of Net Liq,Issuer Country ,Company Name,Sector,Industry,Dividends,Dividend Amount,Dividend Date,Prior Month Close,Year To Date Change%,52 Week HV High,52 Week HV Low,Unnamed: 27,Next_div_receiveable,Unrealized PnL %,Date,Month,Dividend yield %,PnL %,REIT sector,CCY,Position_Size,YE_price,YtD price return,ME_price,MtD price return,Rate,Last in USD,Avg Price in USD,Cost Basis in USD,Unrealized P&L in USD,Market Value in USD,Dividends in USD,Next_div_receiveable in USD,Financial Instrument_NEW
STAG,15,40.81,36.6128,31.788,1164.0,330.0,1494.0,1.8,US,STAG INDUSTRIAL INC,REITS,REITS,1.47997,0.123333,08302024,36.06,,24.415786640524885,15.984201011373262,,4.5155664624,28.35,8,Aug,3.63,28.38,Industrial,USD,Small,39.26,3.95,36.06,13.17,1.0,40.81,31.788,1164.0,330.0,1494.0,1.47997,4.5155664624,STAG
UNIT,16,3.84,192.0,6.965,1337.0,-592.0,745.0,0.9,US,UNITI GROUP INC,REITS,REITS,0.6,0.15,09132024,2.92,,74.95037678723514,40.18409565785463,,28.799999999999997,-44.28,9,Sep,15.62,-44.87,Fiber solutions,USD,Micro,5.78,-33.56,2.92,31.51,1.0,3.84,6.965,1337.0,-592.0,745.0,0.6,28.799999999999997,UNIT
VOD,17,9.36,66.0,13.764,908.0,-289.0,620.0,0.75,GB,VODAFONE GROUP PLC-SP ADR,Communications,Telecommunications,0.486,0.486,06132025,8.87,,35.44206204211867,17.99391348670001,,32.076,-31.83,6,Jun,5.19,-32.0,,USD,Micro,8.7,7.59,8.87,5.52,1.0,9.36,13.764,908.0,-289.0,620.0,0.486,32.076,VOD
WBD,18,8.63,500.0,7.817,3909.0,407.0,4315.0,5.19,US,WARNER BROS DISCOVERY INC,Communications,Media,0.0,0.0,01012000,7.44,'-0.2416520287158205,64.02427380427623,34.72945346912615,,0.0,10.41,1,Jan,0.0,10.4,,USD,Medium,11.380000114440918,-24.17,7.47,15.53,1.0,8.63,7.817,3909.0,407.0,4315.0,0.0,0.0,WBD
BRNK IBIS,19,2.145,433.0,7.453,3227.0,-2305.0,922.0,1.2,DE,BRANICKS GROUP AG,REITS,REITS,0.75,0.75,03102026,2.0,,140.07331830809687,30.792418396058164,,324.75,-71.43,3,Mar,34.97,-71.22,European Office/Assets management,EUR,Small,3.375,-36.44,2.035,5.41,1.0708472728729248,2.2969674003124236,7.981024724721909,3455.6241495609283,-2468.3029639720917,987.3211855888367,0.8031354546546936,347.75765186548233,BRNK.DE
CVS,20,62.0,100.0,63.289,6329.0,-229.0,6100.0,7.34,US,CVS HEALTH CORP,"Consumer, Non-cyclical",Pharmaceuticals,2.66,0.665,10222024,59.06,'-0.20010630517656994,66.66753291813453,19.31959393841427,,66.5,-3.62,10,Oct,4.29,-2.04,,USD,Large,78.95999908447266,-21.48,59.08,4.94,1.0,62.0,63.289,6329.0,-229.0,6100.0,2.66,66.5,CVS
EPR,21,45.0,62.0,39.451,2446.0,362.0,2808.0,3.38,US,EPR PROPERTIES,REITS,REITS,3.42,0.285,08302024,41.98,,22.64943093019892,15.026332935573969,,17.669999999999998,14.8,8,Aug,7.6,14.07,NNN - Fun Parks,USD,Medium,48.45,-7.12,41.98,7.19,1.0,45.0,39.451,2446.0,362.0,2808.0,3.42,17.669999999999998,EPR
LI SBF,22,26.48,78.0,12.93,1008.0,1055.0,2064.0,2.69,FR,KLEPIERRE,REITS,REITS,0.0,0.0,01012000,24.98,,26.72013074688781,14.19689005189252,,0.0,104.66,1,Jan,0.0,104.8,European Malls,EUR,Small,24.68,7.29,25.0,5.92,1.0708472728729248,28.35603578567505,13.846055238246917,1079.4140510559082,1129.7438728809357,2210.228771209717,0.0,0.0,LI.PA
MPW,23,4.86,306.0,16.656,5097.0,-3622.0,1475.0,1.77,US,MEDICAL PROPERTIES TRUST INC,REITS,REITS,0.6,0.15,09192024,4.31,0.02340785290628952,111.82225980247784,31.22753771941352,,45.9,-71.06,9,Sep,12.35,-70.82,Healthcare,USD,Small,4.93,-1.42,4.32,12.5,1.0,4.86,16.656,5097.0,-3622.0,1475.0,0.6,45.9,MPW
NET.UN VENTURE,24,5.59,70.0,8.016,561.0,-172.0,389.0,0.34,CA,CANADIAN NET REAL ESTATE INV,REITS,REITS,0.345,0.02875,08152024,,,30.962275075569355,14.559780738486458,,2.0125,-30.66,8,Aug,6.17,-30.26,Canadian Net Lease,CAD,Micro,4.85,15.26,4.87,14.78,0.7299643158912659,4.080500525832176,5.8513939561843875,409.50998121500015,-125.55386233329773,283.9561188817024,0.2518376889824867,1.4690531857311726,NET-UN.V
VICI,25,31.26,88.0,28.89,2542.0,217.0,2759.0,3.32,US,VICI PROPERTIES INC,REITS,REITS,1.66,0.415,09262024,28.64,,22.93453704477508,13.960677054629562,,36.519999999999996,8.54,9,Sep,5.31,8.2,Net Lease,USD,Medium,31.75,-1.54,28.64,9.15,1.0,31.26,28.89,2542.0,217.0,2759.0,1.66,36.519999999999996,VICI
