,Financial Instrument,Daily P&L,Change %,Last,Position,Avg Price,Cost Basis,Unrealized P&L,Market Value,% of Net Liq,Issuer Country ,Company Name,Sector,Industry,Market Cap,Payout ratio %,Beta          ,Number of Targets,Average Price Target,Analyst Target/Price Disparity %,Dividends,Dividend Amount,Dividend Date,Prior Month Close,Year To Date Change%,52 Week HV High,52 Week HV Low,Next_div_receiveable,Unrealized PnL,Date,Month,Dividend yield %,PnL %,REIT sector,CCY,Position_Size,YE_price,YtD price return,MtD_price,MtD price return
17,MAC,13,,9.64,115.0,7.646,879.0,242.0,1121.0,2.0,US,MACERICH CO/THE,REITS,REITS,2073518336.8421054,,2.15843,12.0,11.67,21.058091286307047,0.68,0.17,08172023,9.64,,62.01,31.48,19.55,27.53,8,Aug,7.05,26.08,Malls,USD,Small,11.26,-14.39,9.98,-3.41
18,LAC,-5,,20.19,55.0,7.509,413.0,692.0,1105.0,1.97,CA,LITHIUM AMERICAS CORP,Basic Materials,Lithium producers,3220848100.519113,,1.45875,9.0,36.17,79.14809311540367,0.0,0.0,01012000,20.19,,92.35,42.45,0.0,167.55,1,Jan,0.0,168.88,,USD,Small,18.99,6.32,20.05,0.7
19,OUT,0,,14.02,77.0,22.94,1766.0,-687.0,1080.0,1.93,US,OUTFRONT MEDIA INC,REITS,REITS,2313116624.2214537,179.2384,1.73244,5.0,25.6,82.59629101283882,1.2,0.3,06012023,14.32,,57.0,29.94,23.099999999999998,-38.9,6,Jun,8.56,-38.88,Specialty,USD,Small,16.58,-15.44,16.66,-15.85
20,BRX,0,,20.03,43.0,11.716,504.0,358.0,861.0,1.54,US,BRIXMOR PROPERTY GROUP INC,REITS,REITS,6019970012.613522,78.52171,1.54634,19.0,24.55,22.56615077383924,1.04,0.26,07032023,20.03,,39.4,21.6,11.18,71.03,7,Jul,5.19,70.96,Retail,USD,Small,22.67,-11.65,21.33,-6.09
21,UNIT,4,,3.72,192.0,6.965,1337.0,-619.0,718.0,1.28,US,UNITI GROUP INC,REITS,REITS,887492236.3636363,,1.3134,9.0,5.44,46.23655913978495,0.6,0.15,06152023,3.72,,66.88,27.59,28.799999999999997,-46.3,6,Jun,16.13,-46.59,Specialty,USD,Small,5.54,-32.85,3.42,8.77
22,FPI,0,,11.35,60.0,12.137,728.0,-47.0,681.0,1.22,US,FARMLAND PARTNERS INC,REITS,REITS,589130890.2654867,36.55639,0.82304,5.0,12.6,11.013215859030838,0.24,0.06,06302023,11.35,,41.91,21.22,3.5999999999999996,-6.46,6,Jun,2.11,-6.48,Farmland,USD,Small,12.46,-8.91,10.44,8.72
23,VOD,3,,9.48,66.0,13.764,908.0,-279.0,629.0,1.12,GB,VODAFONE GROUP PLC-SP ADR,Communications,Telecommunications,25493418645.294727,20.71296,0.76623,3.0,13.64,43.881856540084385,0.977,0.467,06082023,9.48,,35.83,18.77,30.822000000000003,-30.73,6,Jun,10.31,-31.12,,USD,Small,10.11,-6.23,11.95,-20.67
24,REI.UN TSE,0,,20.02,26.0,18.22,474.0,47.0,521.0,0.69,CA,RIOCAN REAL ESTATE INVST TR,REITS,REITS,5995679000.00,160.3812,1.20055,9.0,25.06,25.174825174825173,1.08,0.09,06292023,,,27.54,16.44,2.34,9.92,6,Jun,5.39,9.88,Canadian Retail,CAD,Micro,21.13,-5.25,20.98,-4.58
25,BYG LSE,0,,1150.0,25.0,1116.5,279.0,8.0,288.0,0.64,GB,BIG YELLOW GROUP PLC,REITS,REITS,2119418507.0671375,55.67829,0.58694,15.0,1265.2,10.017391304347829,0.458,0.229,07062023,11.5,,51.83,26.86,5.7250000000000005,2.87,7,Jul,0.04,3.0,UK Self Storage,GBP,Micro,1147.0,0.26,1224.0,-6.05
26,NET.UN VENTURE,0,,5.1,70.0,8.016,561.0,-204.0,357.0,0.47,CA,CANADIAN NET REAL ESTATE INV,REITS,REITS,104996000.00,,0.48938,5.0,6.59,29.21568627450981,0.345,0.02875,06142023,,,58.71,25.25,2.0125,-36.36,6,Jun,6.76,-36.38,Canadian Net Lease,CAD,Micro,6.21,-17.87,5.45,-6.42
27,EQX,4,,4.7,50.0,6.187,309.0,-71.0,239.0,0.43,CA,EQUINOX GOLD CORP,Basic Materials,Gold Miners,1469726074.5614038,,0.97007,1.0,6.62,40.85106382978723,0.0,0.0,01012000,4.7,,90.18,51.1,0.0,-22.98,1,Jan,0.0,-24.03,,USD,Micro,3.2,46.88,4.99,-5.81
28,COIN,1,,62.2,3.0,221.742,665.0,-478.0,187.0,0.33,US,COINBASE GLOBAL INC -CLASS A,Financial,Bitcoin,14641362550.26974,,,24.0,70.29,13.006430868167207,0.0,0.0,01012000,62.2,,191.45,78.41,0.0,-71.88,1,Jan,0.0,-71.95,,USD,Micro,35.56,74.92,53.86,15.48
