Financial Instrument,Daily P&L,Change %,Last,Position,Avg Price,Cost Basis,Unrealized P&L,Market Value,% of Net Liq,Issuer Country ,Company Name,Sector,Industry,Market Cap,Payout ratio %,Beta          ,Number of Targets,Average Price Target,Analyst Target/Price Disparity %,Dividends,Dividend Amount,Dividend Date,Prior Month Close,Year To Date Change%,52 Week HV High,52 Week HV Low,Next_div_receiveable,Unrealized PnL,Date,Month,Dividend yield %,PnL %,REIT sector,CCY,Position_Size,YE_price,YtD price return,MtD_price,MtD price return
CCI,27.0,0.01,109.94,20.0,104.165,2083.0,116.0,2199.0,3.21,US,CROWN CASTLE INC,REITS,REITS,47737625956.47605,181.479,0.75003,15.0,116.53,5.994178642896129,6.26,1.565,03142024,108.25,-0.05,34.39,18.15,31.299999999999997,5.57,3.0,Mar,5.69,5.54,Specialty,USD,Medium,115.2,-4.57,108.25,1.56
OUT,27.0,0.02,14.37,77.0,22.87,1761.0,-654.0,1106.0,1.61,US,OUTFRONT MEDIA INC,REITS,REITS,2383659856.715149,,1.86562,4.0,16.75,16.56228253305498,1.2,0.3,06062024,13.02,0.03,73.27,25.98,23.099999999999998,-37.14,6.0,Jun,8.35,-37.17,Specialty,USD,Small,13.96,2.94,13.02,10.37
VOD,18.0,0.03,8.95,66.0,13.764,908.0,-318.0,591.0,0.86,GB,VODAFONE GROUP PLC-SP ADR,Communications,Telecommunications,24211060499.02849,23.1582,0.70355,3.0,13.7,53.072625698324025,0.96,0.48,06062024,8.6,0.03,35.12,17.99,31.68,-35.02,6.0,Jun,10.73,-34.98,,USD,Micro,8.7,2.87,8.6,4.07
MPW,12.0,0.01,4.21,306.0,16.656,5097.0,-3808.0,1288.0,1.88,US,MEDICAL PROPERTIES TRUST INC,REITS,REITS,2521751658.3412952,,1.19558,10.0,4.9,16.389548693586708,0.6,0.15,03132024,3.1,-0.14,101.97,30.36,45.9,-74.71,3.0,Mar,14.25,-74.72,Healthcare,USD,Small,4.93,-14.6,3.13,34.5
BRNK IBIS,6.0,0.01,1.258,433.0,7.453,3227.0,-2682.0,545.0,0.86,DE,BRANICKS GROUP AG,REITS,REITS,105125417.20257236,,1.02426,8.0,3.6,186.16852146263912,0.75,0.75,03052024,2.13,-0.63,103.04,30.23,324.75,-83.11,3.0,Mar,59.62,-83.12,European Office/Assets management,EUR,Micro,3.375,-62.73,2.13,-40.94
COIN,2.0,0.0,201.36,3.0,221.742,665.0,-61.0,604.0,0.88,US,COINBASE GLOBAL INC -CLASS A,Financial,Bitcoin,48784534259.42683,0.0,,22.0,176.71,-12.241756058800162,0.0,0.0,01012000,128.2,0.16,130.99,57.58,0.0,-9.17,1.0,Jan,0.0,-9.19,,USD,Micro,171.72,17.26,127.8,57.56
MAC,3.0,0.0,16.41,115.0,7.646,879.0,1008.0,1887.0,2.75,US,MACERICH CO/THE,REITS,REITS,3539966569.64783,,2.38574,11.0,15.23,-7.190737355271175,0.68,0.17,05162024,15.79,0.06,50.2,27.48,19.55,114.68,5.0,May,4.14,114.62,Malls,USD,Small,15.43,6.35,15.79,3.93
STAG,1.0,0.0,37.14,36.6128,31.788,1164.0,196.0,1360.0,1.98,US,STAG INDUSTRIAL INC,REITS,REITS,6751431554.996556,137.7422,1.01984,9.0,39.44,6.192784060312324,1.47633,0.123333,03272024,36.94,-0.05,26.68,15.98,4.5155664624,16.84,3.0,Mar,3.98,16.84,Industrial,USD,Small,39.26,-5.4,36.94,0.54
NLCP,0.0,0.0,16.1,100.0,13.934,1393.0,217.0,1610.0,2.35,US,NEWLAKE CAPITAL PARTNERS INC,REITS,REITS,333179200.0,135.9628,,1.0,15.5,-3.72670807453417,1.6,0.4,03272024,16.72,0.01,66.6,23.2,40.0,15.58,3.0,Mar,9.94,15.54,Specialty,USD,Small,16.01,0.56,16.72,-3.71
BYG LSE,0.0,0.0,1003.0,25.0,1116.5,279.0,-28.0,251.0,0.46,GB,BIG YELLOW GROUP PLC,REITS,REITS,1967839000.0,46.03304,0.58449,15.0,1202.2,19.860418743768697,0.452,0.226,07022024,11.48,-0.18,39.38,26.86,5.65,-10.04,7.0,Jul,0.05,-10.17,UK Self Storage,GBP,Micro,1222.0,-17.92,1148.0,-12.63
NET.UN VENTURE,-2.0,-0.01,4.87,70.0,8.016,561.0,-220.0,341.0,0.37,CA,CANADIAN NET REAL ESTATE INV,REITS,REITS,100335911.9279044,154.838,0.58256,4.0,5.56,14.168377823408616,0.345,0.02875,03142024,,,58.71,16.42,2.0125,-39.22,3.0,Mar,7.08,-39.25,Canadian Net Lease,CAD,Micro,4.85,0.41,4.95,-1.62
LI SBF,-3.0,-0.0,23.48,78.0,13.031,1016.0,818.0,1835.0,2.89,FR,KLEPIERRE,REITS,REITS,6746974553.480475,,1.78524,17.0,24.5,4.344122657580918,0.9,0.9,03222024,24.09,-0.05,38.14,16.78,70.2,80.51,3.0,Mar,3.83,80.19,European Malls,EUR,Small,24.68,-4.86,24.09,-2.53
REI.UN TSE,-7.0,-0.01,17.92,26.0,18.22,474.0,-9.0,465.0,0.5,CA,RIOCAN REAL ESTATE INVST TR,REITS,REITS,5363208693.721657,832.2355,1.26582,10.0,21.63,20.703124999999982,1.11,0.0925,03272024,,,25.57,14.37,2.405,-1.9,3.0,Mar,6.19,-1.65,Canadian Retail,CAD,Micro,18.62,-3.76,18.29,-2.02
RICK,-15.0,-0.01,56.36,50.969,71.327,3635.0,-763.0,2873.0,4.19,US,RCI HOSPITALITY HOLDINGS INC,"Consumer, Cyclical",REITS,527511797.3455309,8.56141,1.66383,2.0,113.5,101.38396025550036,0.24,0.06,03142024,61.76,-0.15,43.25,20.57,3.05814,-20.99,3.0,Mar,0.43,-20.98,Night Club,USD,Medium,66.26,-14.94,61.76,-8.74
EPR,-20.0,-0.01,41.08,62.0,39.451,2446.0,101.0,2547.0,3.71,US,EPR PROPERTIES,REITS,REITS,3094533715.71011,170.4047,1.66036,9.0,48.83,18.865628042843234,3.31,0.285,03272024,44.27,-0.15,28.87,18.44,17.669999999999998,4.13,3.0,Mar,8.06,4.13,Net Lease,USD,Medium,48.45,-15.21,44.27,-7.21
ADC,-24.0,-0.01,54.95,67.0,57.835,3875.0,-193.0,3682.0,5.37,US,AGREE REALTY CORP,REITS,REITS,5523539105.798848,173.2482,0.52521,16.0,66.97,21.874431301182884,2.964,0.247,03272024,59.61,-0.12,23.58,12.53,16.549,-4.98,3.0,Mar,5.39,-4.99,Net Lease,USD,Medium,62.95,-12.71,59.61,-7.82
