Financial Instrument,index,Last,Position,Avg Price,Cost Basis,Unrealized P&L,Market Value,% of Net Liq,Issuer Country ,Company Name,Sector,Industry,Dividends,Dividend Amount,Dividend Date,Prior Month Close,Year To Date Change%,52 Week HV High,52 Week HV Low,Unnamed: 27,Next_div_receiveable,Unrealized PnL %,Date,Month,Dividend yield %,PnL %,REIT sector,CCY,Position_Size,YE_price,YtD price return,ME_price,MtD price return,Rate,Last in USD,Avg Price in USD,Cost Basis in USD,Unrealized P&L in USD,Market Value in USD,Dividends in USD,Next_div_receiveable in USD,Financial Instrument_NEW
OUT,15,14.3,77.0,22.87,1761.0,-660.0,1101.0,1.43,US,OUTFRONT MEDIA INC,REITS,REITS,1.2,0.3,09062024,14.45,0.04574203907410922,73.27196393289354,25.98450599505788,,23.099999999999998,-37.48,9,Sep,8.39,-37.47,Billboards,USD,Small,13.96,2.44,14.45,-1.04,1.0,14.3,22.87,1761.0,-660.0,1101.0,1.2,23.099999999999998,OUT
REI.UN TSE,16,16.84,26.0,18.22,474.0,-37.0,437.0,0.42,CA,RIOCAN REAL ESTATE INVST TR,REITS,REITS,1.11,0.0925,07312024,,,25.573674299268102,14.371350558542687,,2.405,-7.81,7,Jul,6.59,-7.57,Canadian Retail,CAD,Micro,18.62,-9.56,17.26,-2.43,0.7308178544044495,12.306972668170928,13.315501307249068,346.40766298770905,-27.04026061296463,319.3674023747444,0.811207818388939,1.7576169398427008,REI-UN.TO
REXR,17,44.59,70.0,45.046,3153.0,-32.0,3121.0,4.06,US,REXFORD INDUSTRIAL REALTY IN,REITS,REITS,1.67,0.4175,09302024,45.36,'-0.19851602672975224,34.20607194917563,18.59412894897968,,29.224999999999998,-1.01,9,Sep,3.75,-1.01,Industrial,USD,Medium,56.099998474121094,-20.52,45.36,-1.7,1.0,44.59,45.046,3153.0,-32.0,3121.0,1.67,29.224999999999998,REXR
RICK,18,43.56,50.969,71.327,3635.0,-1415.0,2220.0,2.89,US,RCI HOSPITALITY HOLDINGS INC,"Consumer, Cyclical",REITS,0.24,0.06,09132024,44.74,'-0.3418636952092095,39.69611067912491,20.57494996960186,,3.05814,-38.93,9,Sep,0.55,-38.93,Night Clubs,USD,Small,66.26,-34.26,44.74,-2.64,1.0,43.56,71.327,3635.0,-1415.0,2220.0,0.24,3.05814,RICK
SAFE,19,19.29,140.0,23.53,3294.0,-594.0,2701.0,3.51,US,SAFEHOLD INC,REITS,REITS,0.708,0.177,09272024,19.28,'-0.16840905512222157,47.45636546608697,28.45299117537024,,24.779999999999998,-18.03,9,Sep,3.67,-18.02,Ground lease,USD,Medium,23.4,-17.56,19.28,0.05,1.0,19.29,23.53,3294.0,-594.0,2701.0,0.708,24.779999999999998,SAFE
STAG,20,36.06,36.6128,31.788,1164.0,156.0,1320.0,1.72,US,STAG INDUSTRIAL INC,REITS,REITS,1.47996,0.12333,07312024,35.06,'-0.06585633937407936,24.415786640524885,15.984201011373262,,4.515456624,13.4,7,Jul,4.1,13.44,Industrial,USD,Small,39.26,-8.15,35.06,2.85,1.0,36.06,31.788,1164.0,156.0,1320.0,1.47996,4.515456624,STAG
UNIT,21,2.92,192.0,6.965,1337.0,-776.0,561.0,0.73,US,UNITI GROUP INC,REITS,REITS,0.6,0.15,09132024,3.16,'-0.48190023154096023,74.95037678723514,40.18409565785463,,28.799999999999997,-58.04,9,Sep,20.55,-58.08,Fiber solutions,USD,Micro,5.78,-49.48,3.16,-7.59,1.0,2.92,6.965,1337.0,-776.0,561.0,0.6,28.799999999999997,UNIT
VICI,22,28.64,88.0,28.89,2542.0,-22.0,2520.0,3.28,US,VICI PROPERTIES INC,REITS,REITS,1.66,0.415,09262024,28.71,'-0.08869619891557115,22.93453704477508,13.960677054629562,,36.519999999999996,-0.87,9,Sep,5.8,-0.87,Net Lease,USD,Medium,31.75,-9.8,28.71,-0.24,1.0,28.64,28.89,2542.0,-22.0,2520.0,1.66,36.519999999999996,VICI
VNA IBIS,23,26.46,213.5847,23.603,5041.0,619.0,5660.0,7.88,DE,VONOVIA SE,REITS,REITS,0.9,0.9,05122025,28.8,'-0.07288019792584194,44.49084732307233,28.58522775681508,,192.22623000000002,12.28,5,May,3.4,12.1,European Apartments,EUR,Large,28.54,-7.29,28.63,-7.58,1.0835410356521606,28.67049580335617,25.574819064497948,5462.130360722542,670.7119010686874,6132.842261791229,0.9751869320869446,208.28500833371044,VNA.DE
VOD,24,8.87,66.0,13.764,908.0,-323.0,585.0,0.76,GB,VODAFONE GROUP PLC-SP ADR,Communications,Telecommunications,0.486,0.486,11082024,9.62,0.019540252236996736,35.44206204211867,17.99391348670001,,32.076,-35.57,11,Nov,5.48,-35.56,,USD,Micro,8.7,1.95,9.63,-7.89,1.0,8.87,13.764,908.0,-323.0,585.0,0.486,32.076,VOD
WBD,25,7.47,500.0,7.817,3909.0,-178.0,3730.0,4.85,US,WARNER BROS DISCOVERY INC,Communications,Media,0.0,0.0,01012000,8.24,'-0.34358524385946465,64.02427380427623,34.72945346912615,,0.0,-4.55,1,Jan,0.0,-4.44,,USD,Medium,11.380000114440918,-34.36,8.27,-9.67,1.0,7.47,7.817,3909.0,-178.0,3730.0,0.0,0.0,WBD
