Financial Instrument,index,Last,Position,Avg Price,Cost Basis,Unrealized P&L,Market Value,% of Net Liq,Issuer Country ,Company Name,Sector,Industry,Dividends,Dividend Amount,Dividend Date,Prior Month Close,Year To Date Change%,52 Week HV High,52 Week HV Low,Unnamed: 27,Next_div_receiveable,Unrealized PnL %,Date,Month,Dividend yield %,PnL %,REIT sector,CCY,Position_Size,YE_price,YtD price return,ME_price,MtD price return,Rate,Last in USD,Avg Price in USD,Cost Basis in USD,Unrealized P&L in USD,Market Value in USD,Dividends in USD,Next_div_receiveable in USD,Financial Instrument_NEW
REXR,10,45.36,70.0,45.046,3153.0,22.0,3175.0,4.2,US,REXFORD INDUSTRIAL REALTY IN,REITS,REITS,1.67,0.4175,06282024,42.81,'-0.1914438282752441,34.20607194917563,18.594128948979677,,29.224999999999998,0.7,6,Jun,3.68,0.7,Industrial,USD,Medium,56.099998474121094,-19.14,42.810001373291016,5.96,1.0,45.36,45.046,3153.0,22.0,3175.0,1.67,29.224999999999998,REXR
EPR,11,41.04,62.0,39.451,2446.0,99.0,2544.0,3.37,US,EPR PROPERTIES,REITS,REITS,3.42,0.285,06282024,40.59,'-0.13030212054539514,25.570658304610582,16.528855642660588,,17.669999999999998,4.05,6,Jun,8.33,4.03,NNN - Fun Parks,USD,Medium,48.45,-15.29,40.59,1.11,1.0,41.04,39.451,2446.0,99.0,2544.0,3.42,17.669999999999998,EPR
MAC,12,15.12,115.0,7.646,879.0,860.0,1739.0,2.3,US,MACERICH CO/THE,REITS,REITS,0.68,0.17,08192024,13.76,'-0.010555358207803872,46.481034189849126,27.48035951003661,,19.55,97.84,8,Aug,4.5,97.75,Malls,USD,Small,15.43,-2.01,13.76,9.88,1.0,15.12,7.646,879.0,860.0,1739.0,0.68,19.55,MAC
GMRE,13,9.29,200.0,7.689,1538.0,320.0,1858.0,2.46,US,GLOBAL MEDICAL REIT INC,REITS,REITS,0.84,0.21,06242024,8.11,'-0.1630630918257741,32.3000195059137,18.162183812158492,,42.0,20.81,6,Jun,9.04,20.82,Healthcare,USD,Small,11.1,-16.31,8.11,14.55,1.0,9.29,7.689,1538.0,320.0,1858.0,0.84,42.0,GMRE
STAG,14,35.06,36.6128,31.788,1164.0,120.0,1284.0,1.7,US,STAG INDUSTRIAL INC,REITS,REITS,1.47996,0.123333,06282024,34.39,'-0.09494550727754601,25.658920501205746,15.984201011373262,,4.5155664624,10.31,6,Jun,4.22,10.29,Industrial,USD,Small,39.26,-10.7,34.39,1.95,1.0,35.06,31.788,1164.0,120.0,1284.0,1.47996,4.5155664624,STAG
SAFE,15,19.28,140.0,23.53,3294.0,-595.0,2699.0,3.57,US,SAFEHOLD INC,REITS,REITS,0.708,0.177,06282024,18.24,'-0.1760683626365394,47.45636546608697,30.109813056192987,,24.779999999999998,-18.06,6,Jun,3.67,-18.06,Ground lease,USD,Medium,23.4,-17.61,18.24,5.7,1.0,19.28,23.53,3294.0,-595.0,2699.0,0.708,24.779999999999998,SAFE
VOD,16,9.63,66.0,13.764,908.0,-273.0,636.0,0.84,GB,VODAFONE GROUP PLC-SP ADR,Communications,Telecommunications,0.966068,0.486068,06072024,8.41,0.10689657599123768,35.44206204211867,17.99391348670001,,32.080488,-30.07,6,Jun,10.03,-30.03,,USD,Micro,8.7,10.69,8.5,13.29,1.0,9.63,13.764,908.0,-273.0,636.0,0.966068,32.080488,VOD
REI.UN TSE,17,17.26,26.0,18.22,474.0,-24.0,450.0,0.44,CA,RIOCAN REAL ESTATE INVST TR,REITS,REITS,1.11,0.0925,06282024,,,25.573674299268106,14.371350558542689,,2.405,-5.06,6,Jun,6.43,-5.27,Canadian Retail,CAD,Micro,18.62,-7.3,17.44,-1.03,0.7317055463790894,12.629237730503084,13.331675055027008,346.82842898368835,-17.560933113098145,329.2674958705902,0.8121931564807893,1.7597518390417097,REI-UN.TO
BYG LSE,18,1248.0,25.0,1116.5,279.0,33.0,312.0,0.53,GB,BIG YELLOW GROUP PLC,REITS,REITS,0.452,0.226,07042024,10.8,0.021276573427964976,39.376557174587816,25.874496111495972,,5.65,11.83,7,Jul,0.04,11.78,UK Self Storage,GBP,Micro,1222.0,2.13,1080.0,15.56,1.2559815645217896,1567.4649925231934,1402.303416788578,350.4188565015793,41.447391629219055,391.86624813079834,0.5677036671638489,7.0962958395481115,BYG.L
NLCP,19,18.86,100.0,13.934,1393.0,493.0,1886.0,2.5,US,NEWLAKE CAPITAL PARTNERS INC,REITS,REITS,1.64,0.41,06282024,19.05,0.1780137245705219,52.61684764255171,23.20329173733546,,41.0,35.39,6,Jun,8.7,35.35,Cannabis,USD,Small,16.01,17.8,19.05,-1.0,1.0,18.86,13.934,1393.0,493.0,1886.0,1.64,41.0,NLCP
OUT,20,14.45,77.0,22.87,1761.0,-648.0,1113.0,1.47,US,OUTFRONT MEDIA INC,REITS,REITS,1.2,0.3,06072024,15.86,0.03510028370444548,73.27196393289354,25.984505995057877,,23.099999999999998,-36.8,6,Jun,8.3,-36.82,Billboards,USD,Small,13.96,3.51,15.86,-8.89,1.0,14.45,22.87,1761.0,-648.0,1113.0,1.2,23.099999999999998,OUT
NET.UN VENTURE,21,4.91,70.0,8.016,561.0,-218.0,343.0,0.33,CA,CANADIAN NET REAL ESTATE INV,REITS,REITS,0.345,0.02875,06142024,,,46.51262525545793,15.104911423832473,,2.0125,-38.86,6,Jun,7.03,-38.75,Canadian Net Lease,CAD,Micro,4.85,1.24,4.95,-0.81,0.7317055463790894,3.592674232721329,5.86535165977478,410.4868115186691,-159.51180911064148,250.97500240802765,0.25243841350078583,1.4725574120879175,NET-UN.V
UNIT,22,3.16,192.0,6.965,1337.0,-730.0,607.0,0.8,US,UNITI GROUP INC,REITS,REITS,0.6,0.15,06142024,5.75,'-0.45328721707697345,73.94123680225796,40.18409565785463,,28.799999999999997,-54.6,6,Jun,18.99,-54.63,Fiber solutions,USD,Micro,5.78,-45.33,5.75,-45.04,1.0,3.16,6.965,1337.0,-730.0,607.0,0.6,28.799999999999997,UNIT
BRNK IBIS,23,2.48,433.0,7.453,3227.0,-2153.0,1074.0,1.54,DE,BRANICKS GROUP AG,REITS,REITS,0.75,0.75,03102026,1.65,'-0.2651851851851852,140.07331830809687,30.3065002607261,,324.75,-66.72,3,Mar,30.24,-66.72,European Office/Assets management,EUR,Small,3.375,-26.52,1.698,46.05,1.0715701580047607,2.6574939918518066,7.986412387609482,3457.956899881363,-2307.09055018425,1150.866349697113,0.8036776185035706,347.99240881204605,BRNK.DE
IAUX,24,1.13,3100.0,1.957,6066.0,-2625.0,3441.0,4.55,CA,I-80 GOLD CORP,Basic Materials,Gold Miners,0.0,0.0,01012000,1.18,'-0.35795454197555526,80.70393657195673,42.979118440136496,,0.0,-43.27,1,Jan,0.0,-42.26,,USD,Medium,1.79,-36.87,1.18,-4.24,1.0,1.13,1.957,6066.0,-2625.0,3441.0,0.0,0.0,IAUX
BTG,25,2.81,2708.0,3.118,8441.0,-832.0,7609.0,10.07,CA,B2GOLD CORP,Basic Materials,Gold Miners,0.16,0.04,06112024,2.55,'-0.11075951782408948,45.13948132703528,28.165028736441943,,108.32000000000001,-9.86,6,Jun,5.69,-9.88,,USD,X Large,3.17,-11.36,2.54,10.63,1.0,2.81,3.118,8441.0,-832.0,7609.0,0.16,108.32000000000001,BTG
