Financial Instrument,Daily P&L,Change %,Last,Position,Avg Price,Cost Basis,Unrealized P&L,Market Value,% of Net Liq,Issuer Country ,Company Name,Sector,Industry,Market Cap,Payout ratio %,Beta          ,Number of Targets,Average Price Target,Analyst Target/Price Disparity %,Dividends,Dividend Amount,Dividend Date,Prior Month Close,Year To Date Change%,52 Week HV High,52 Week HV Low,Next_div_receiveable,Unrealized PnL,Date,Month,Dividend yield %,PnL %,REIT sector,CCY,Position_Size,YE_price,YtD price return,MtD_price,MtD price return
COIN,2.0,-0.0,127.8,3.0,221.742,665.0,-279.0,386.0,0.55,US,COINBASE GLOBAL INC -CLASS A,Financial,Bitcoin,30800470615.54501,,,23.0,130.42,2.0500782472613386,0.0,0.0,01012000,128.2,-0.27,130.99,57.58,0.0,-41.95,1.0,Jan,0.0,-42.37,,USD,Micro,171.72,-25.58,171.72,-25.58
NET.UN VENTURE,0.0,,4.95,70.0,8.016,561.0,-215.0,347.0,0.37,CA,CANADIAN NET REAL ESTATE INV,REITS,REITS,101092300.0,154.838,0.57831,4.0,5.56,12.323232323232311,0.345,0.02875,02142024,,,58.71,16.42,2.0125,-38.32,2.0,Feb,6.97,-38.25,Canadian Net Lease,CAD,Micro,4.85,2.06,4.85,2.06
NLCP,0.0,,16.72,100.0,13.994,1399.0,273.0,1672.0,2.39,US,NEWLAKE CAPITAL PARTNERS INC,REITS,REITS,346009760.0,135.9628,,1.0,15.5,-7.296650717703343,1.6,0.4,03272024,16.72,,72.59,23.2,40.0,19.51,3.0,Mar,9.57,19.48,Specialty,USD,Small,16.01,4.43,16.01,4.43
SAFE,0.0,,19.86,140.0,23.53,3294.0,-514.0,2780.0,3.97,US,SAFEHOLD INC,REITS,REITS,1411378529.4117384,,1.43691,13.0,30.67,54.431017119838884,0.708,0.177,02292024,19.86,,52.03,30.11,24.779999999999998,-15.6,2.0,Feb,3.56,-15.6,Ground lease,USD,Medium,23.4,-15.13,23.4,-15.13
STAG,0.0,,36.94,36.6128,31.788,1164.0,189.0,1352.0,1.93,US,STAG INDUSTRIAL INC,REITS,REITS,6707229042.916971,146.111,1.0179,10.0,38.6,4.4937736870601075,1.47667,0.123333,02282024,36.94,,26.68,15.98,4.5155664624,16.24,2.0,Feb,4.0,16.21,Industrial,USD,Small,39.26,-5.91,39.26,-5.91
CCI,0.0,,108.25,20.0,105.178,2104.0,61.0,2165.0,3.09,US,CROWN CASTLE INC,REITS,REITS,46980500000.0,136.2909,0.74668,15.0,115.47,6.6697459584295595,6.26,1.565,03142024,108.25,,34.39,18.15,31.299999999999997,2.9,3.0,Mar,5.78,2.92,Specialty,USD,Medium,115.2,-6.03,115.2,-6.03
RICK,0.0,,61.76,50.969,71.327,3635.0,-488.0,3148.0,4.49,US,RCI HOSPITALITY HOLDINGS INC,"Consumer, Cyclical",REITS,578054183.2429576,7.33776,1.68934,2.0,117.5,90.25259067357514,0.24,0.06,03142024,61.76,,43.25,20.57,3.05814,-13.43,3.0,Mar,0.39,-13.41,Night Club,USD,Medium,66.26,-6.79,66.26,-6.79
OUT,0.0,,13.02,77.0,22.87,1761.0,-758.0,1003.0,1.43,US,OUTFRONT MEDIA INC,REITS,REITS,2148945297.4471817,,1.85646,5.0,15.2,16.743471582181257,1.2,0.3,02292024,13.02,,73.27,25.98,23.099999999999998,-43.04,2.0,Feb,9.22,-43.07,Specialty,USD,Small,13.96,-6.73,13.96,-6.73
BYG LSE,0.0,,1148.0,25.0,1116.5,279.0,8.0,287.0,0.52,GB,BIG YELLOW GROUP PLC,REITS,REITS,2252321763.779527,46.03304,0.57787,15.0,1202.2,4.721254355400701,0.452,0.226,07022024,11.48,,39.38,26.86,5.65,2.87,7.0,Jul,0.04,2.82,UK Self Storage,GBP,Micro,1222.0,-6.06,1222.0,-6.06
REI.UN TSE,0.0,,18.29,26.0,18.22,474.0,2.0,476.0,0.5,CA,RIOCAN REAL ESTATE INVST TR,REITS,REITS,5566945000.0,210.363,1.26249,10.0,21.63,18.261344997266267,1.08,0.09,02282024,,,25.57,14.37,2.34,0.42,2.0,Feb,5.9,0.38,Canadian Retail,CAD,Micro,18.62,-1.77,18.62,-1.77
ADC,0.0,,59.61,67.0,57.835,3875.0,119.0,3994.0,5.7,US,AGREE REALTY CORP,REITS,REITS,5991980343.656206,172.2073,0.53665,15.0,68.27,14.52776379802046,2.964,0.247,02282024,59.61,,23.58,12.53,16.549,3.07,2.0,Feb,4.97,3.07,Net Lease,USD,Medium,62.95,-5.31,62.95,-5.31
LI SBF,-2.0,,24.09,78.0,13.031,1016.0,861.0,1877.0,2.89,FR,KLEPIERRE,REITS,REITS,6904748446.941323,6.0193,1.78655,17.0,24.3,0.8717310087173136,0.0,0.0,01012000,24.09,,38.14,17.09,0.0,84.74,1.0,Jan,0.0,84.87,European Malls,EUR,Small,24.68,-2.39,24.68,-2.39
MAC,-5.0,,15.79,115.0,7.646,879.0,932.0,1811.0,2.58,US,MACERICH CO/THE,REITS,REITS,3393309165.6327543,,2.38332,12.0,14.46,-8.423052564914492,0.68,0.17,02202024,15.79,,50.2,27.48,19.55,106.03,2.0,Feb,4.31,106.51,Malls,USD,Small,15.43,2.33,15.43,2.33
BRNK IBIS,-13.0,,2.13,433.0,7.453,3227.0,-2318.0,909.0,1.4,DE,BRANICKS GROUP AG,REITS,REITS,177994483.9805825,,1.08876,8.0,4.6,115.96244131455397,0.75,0.75,03052024,2.13,,87.07,30.08,324.75,-71.83,3.0,Mar,35.21,-71.42,European Office/Assets management,EUR,Small,3.375,-36.89,3.375,-36.89
VNA IBIS,-70.0,,29.05,213.5847,23.603,5041.0,1093.0,6134.0,9.46,DE,VONOVIA SE,REITS,REITS,23437341617.336155,,0.75956,21.0,32.3,11.18760757314973,0.85,0.85,05082024,29.05,,52.74,28.76,181.54699499999998,21.68,5.0,May,2.93,23.08,European Apartments,EUR,Large,28.54,1.79,28.54,1.79
IAUX,-155.0,,1.6,3100.0,1.957,6066.0,-1261.0,4805.0,6.86,CA,I-80 GOLD CORP,Basic Materials,Gold Miners,461619189.661552,,,,,,0.0,0.0,01012000,1.6,,66.97,42.98,0.0,-20.79,1.0,Jan,0.0,-18.24,,USD,Large,1.79,-10.61,1.79,-10.61
