Financial Instrument,Daily P&L,Change %,Last,Position,Avg Price,Cost Basis,Unrealized P&L,Market Value,% of Net Liq,Issuer Country ,Company Name,Sector,Industry,Market Cap,Payout ratio %,Beta          ,Number of Targets,Average Price Target,Analyst Target/Price Disparity %,Dividends,Dividend Amount,Dividend Date,Prior Month Close,Year To Date Change%,52 Week HV High,52 Week HV Low,Next_div_receiveable,Unrealized PnL,Date,Month,Dividend yield %,PnL %,REIT sector,CCY,Position_Size,YE_price,YtD price return,MtD_price,MtD price return
ARE,11.0,0.0,109.4,28.0,116.658,3266.0,-203.0,3063.0,4.42,US,ALEXANDRIA REAL ESTATE EQUIT,REITS,REITS,19011032684.20439,358.8536,1.05114,12.0,132.92,21.49908592321753,4.96,1.24,12282023,93.13,-0.23,35.9,19.11,34.72,-6.22,12.0,Dec,4.53,-6.22,Office in science,USD,Medium,140.86,-22.33,91.0,20.22
UNIT,-6.0,-0.01,5.53,192.0,6.965,1337.0,-275.0,1062.0,1.53,US,UNITI GROUP INC,REITS,REITS,1319856886.4063396,,1.47247,10.0,5.95,7.594936708860758,0.6,0.15,12142023,4.6,0.08,66.88,38.66,28.799999999999997,-20.57,12.0,Dec,10.85,-20.6,Specialty,USD,Small,5.54,-0.18,4.6,20.22
COIN,-10.0,-0.03,124.5,3.0,221.742,665.0,-292.0,374.0,0.54,US,COINBASE GLOBAL INC -CLASS A,Financial,Bitcoin,29786074675.32468,,,23.0,87.91,-29.38955823293173,0.0,0.0,01012000,77.12,2.52,130.99,57.58,0.0,-43.91,1.0,Jan,0.0,-43.85,,USD,Micro,35.56,250.11,76.74,62.24
VOD,3.0,0.0,9.06,66.0,13.764,908.0,-310.0,598.0,0.86,GB,VODAFONE GROUP PLC-SP ADR,Communications,Telecommunications,24444634458.10309,23.1582,0.6903,2.0,14.49,59.93377483443708,0.96,0.48,06062024,9.24,-0.06,35.34,17.99,31.68,-34.14,6.0,Jun,10.6,-34.18,,USD,Micro,10.11,-10.39,9.23,-1.84
SAFE,-13.0,-0.0,19.69,140.0,23.531,3294.0,-538.0,2757.0,3.98,US,SAFEHOLD INC,REITS,REITS,1399297063.7371614,,1.41033,11.0,27.8,41.18842051802945,0.708,0.177,02292024,16.27,-0.29,52.03,30.11,24.779999999999998,-16.33,2.0,Feb,3.6,-16.32,Ground lease,USD,Medium,46.84,-57.96,21.07,-6.55
RICK,12.0,0.0,58.61,50.969,71.327,3635.0,-648.0,2987.0,4.31,US,RCI HOSPITALITY HOLDINGS INC,"Consumer, Cyclical",Entertainment,550795639.1434361,5.42119,1.62241,2.0,119.5,103.89012113973726,0.24,0.06,12142023,54.51,-0.37,45.77,20.57,3.05814,-17.83,12.0,Dec,0.41,-17.83,Night Club,USD,Medium,93.19,-37.11,54.51,7.52
OUT,-5.0,-0.0,12.23,77.0,22.94,1766.0,-825.0,942.0,1.36,US,OUTFRONT MEDIA INC,REITS,REITS,2018556081.7139788,,1.83897,5.0,15.0,22.649223221586258,1.2,0.3,02292024,9.76,-0.21,73.27,25.98,23.099999999999998,-46.72,2.0,Feb,9.81,-46.69,Specialty,USD,Small,16.58,-26.24,9.76,25.31
IAUX,-31.0,-0.01,1.62,3100.0,1.957,6066.0,-1044.0,5022.0,7.24,CA,I-80 GOLD CORP,Basic Materials,Gold Miners,483537306.87780815,,,,,,0.0,0.0,01012000,1.4,-0.43,80.69,42.98,0.0,-17.21,1.0,Jan,0.0,-17.22,,USD,Large,2.82,-42.55,1.42,14.08
BRNK IBIS,-65.0,-0.07,3.28,233.0,12.103,2820.0,-2060.0,760.0,1.19,DE,BRANICKS GROUP AG,REITS,REITS,272423557.62711865,NoMD,1.15501,9.0,5.9,79.87804878048783,0.75,0.75,03052024,3.9,-0.57,59.34,30.08,174.75,-73.05,3.0,Mar,22.87,-72.9,,,Small,,,3.855,-14.92
MPW,6.0,0.0,4.92,306.0,16.656,5097.0,-3591.0,1506.0,2.17,US,MEDICAL PROPERTIES TRUST INC,REITS,REITS,2947080045.700073,,1.13717,11.0,7.0,42.27642276422765,0.6,0.15,12062023,4.78,-0.53,67.8,30.36,45.9,-70.45,12.0,Dec,12.2,-70.46,Healthcare,USD,Small,11.17,-55.95,4.76,3.36
LAC,,,,,,,,,,,,,Lithium producers,,,,,,,,,,,,,,,,,,,,,USD,,18.99,,6.73,
MGDPF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.76,,0.4351,
