,Financial Instrument,Daily P&L,Change %,Last,Position,Avg Price,Cost Basis,Unrealized P&L,Market Value,% of Net Liq,Issuer Country ,Company Name,Sector,Industry,Market Cap,Payout ratio %,Beta          ,Number of Targets,Average Price Target,Analyst Target/Price Disparity %,Dividends,Dividend Amount,Dividend Date,Prior Month Close,Year To Date Change%,52 Week HV High,52 Week HV Low,Next_div_receiveable,Date,Month,Dividend yield %,PnL %,REIT sector,CCY,Position_Size
10,MPW,-21,-0.00690250215703193,11.51,261.0,18.022000000000002,"4,704",-1700.0,3004.0,5.9,US,MEDICAL PROPERTIES TRUST INC,REITS,REITS,6894294359.792924,42.01215,0.8650100000000001,13.0,16.69,45.00434404865336,1.16,0.29,12072022,11.859999656677244,-0.4856693256725508,49.920725830176536,17.512439508201528,75.69,12,Dec,10.08,-36.13,Healthcare,USD,Medium
11,BTG,-40,-0.012944983818770238,3.05,1006.0,3.522,"3,543",-475.0,3068.0,6.03,CA,B2GOLD CORP,Basic Materials,Gold Miners,3275073297.619048,45.0449,0.95981,3.0,4.92,61.31147540983607,0.16,0.04,12072022,3.220000028610229,-0.1987389902476684,54.88690402925911,37.12650392891782,40.24,12,Dec,5.25,-13.4,,USD,Large
12,AGI,-40,-0.030712530712530713,7.89,162.0,7.426,"1,203",75.0,1278.0,2.51,CA,ALAMOS GOLD INC-CLASS A,Basic Materials,Gold Miners,3094519240.072203,150.0,1.08074,6.0,10.4,31.812420785804825,0.1,0.025,12062022,7.4099998474121085,0.036176876360424035,57.288398645884364,33.47123963515768,4.05,12,Dec,1.27,6.25,,USD,Small
13,VOD,3,0.003398470688190393,11.81,66.0,13.764000000000001,908,-129.0,779.0,1.53,GB,VODAFONE GROUP PLC-SP ADR,Communications,Telecommunications,31925319787.59558,119.4444,0.7713,2.0,16.47,39.458086367485166,0.977,0.51,12052022,11.329999923706055,-0.1858990097085872,37.00697000732466,18.678421564371188,33.660000000000004,12,Dec,8.27,-14.2,,USD,Small
14,OUT,-40,-0.028002154011847042,18.05,77.0,22.94,"1,766",-376.0,1390.0,2.73,US,OUTFRONT MEDIA INC,REITS,REITS,2961036890.145396,98.38462,1.71586,6.0,28.17,56.066481994459835,1.2,0.3,12012022,15.1899995803833,-0.29740566288132025,56.9956756663692,23.836842811153282,23.099999999999998,12,Dec,6.65,-21.32,,USD,Small
15,BYG LSE,0,,1126.0,25.0,1116.5,279,2.0,282.0,0.63,GB,BIG YELLOW GROUP PLC,REITS,REITS,2074272239.2260332,11.01375,0.61379,16.0,1356.31,20.453818827708698,0.428,0.214,11302022,10.600000381469727,,51.82931821403729,25.841636554016514,5.35,11,Nov,0.04,0.85,,GBP,Micro
16,BEI.UN TSE,-2,-0.0045174537987679435,48.48,11.0,27.463,302,231.0,533.0,0.77,CA,BOARDWALK REAL ESTATE INVEST,REITS,REITS,2227681000.0,8.06344,1.75952,11.0,58.82,21.328382838283837,1.08,0.09,11292022,,,35.578107056033026,19.07830105995364,0.99,11,Nov,2.23,76.53,,CAD,Micro
17,EPR,10,0.004378058202420852,39.0,57.0,40.762,"2,323",-100.0,2223.0,4.37,US,EPR PROPERTIES,REITS,REITS,2925571491.115117,171.1719,1.6184,8.0,49.56,27.07692307692308,3.3,0.275,11292022,35.86000061035156,-0.13570915723659,42.642897129830324,21.99365463692691,15.675,11,Nov,8.46,-4.32,Net Lease,USD,Medium
18,STAG,-4,-0.006315124723713271,31.47,22.0,30.095,662,30.0,692.0,1.36,US,STAG INDUSTRIAL INC,REITS,REITS,5639941709.820019,110.4478,0.99384,11.0,36.77,16.841436288528772,1.464,0.122,11292022,28.43000030517578,-0.3229200297336113,35.59128281308588,18.98368901186139,2.684,11,Nov,4.65,4.57,Industrial,USD,Small
19,REI.UN TSE,-4,-0.007668711656441645,19.41,26.0,18.22,474,31.0,505.0,0.73,CA,RIOCAN REAL ESTATE INVST TR,REITS,REITS,5934727000.0,52.55888,1.18829,8.0,24.47,26.069036579082937,1.02,0.085,11292022,,,27.54242986283144,12.943121853186385,2.21,11,Nov,5.26,6.53,,CAD,Micro
20,UMH,-1,-0.0017074558907228875,17.54,48.0,13.450999999999999,646,196.0,842.0,1.65,US,UMH PROPERTIES INC,REITS,REITS,967488600.0,,1.24699,7.0,24.14,37.628278221208674,0.8,0.2,11142022,16.149999618530273,-0.3392203068066116,36.17562290740845,19.829959371617317,9.600000000000001,11,Nov,4.56,30.4,Residential,USD,Small
21,ENB,-2,-0.003841229193342015,38.9,41.0,30.736,"1,260",339.0,1599.0,3.14,CA,ENBRIDGE INC,Energy,Midstream Oil,78967476002.2586,140.2123,0.92179,7.0,59.51,52.98200514138818,2.6696,0.6674,11142022,37.099998474121094,0.04313592547738438,29.799943259992553,14.003697852933124,27.3634,11,Nov,6.86,26.56,Specialty,USD,Medium
22,NET.UN VENTURE,-6,-0.0144230769230769,6.15,70.0,8.016,561,-131.0,431.0,0.62,CA,CANADIAN NET REAL ESTATE INV,REITS,REITS,128498700.0,29.22545,0.38261999999999996,5.0,8.55,39.02439024390244,0.3396,0.0283,11142022,,,42.49621629946196,20.99784712245048,1.9809999999999999,11,Nov,5.52,-23.28,,CAD,Micro
23,MAC,10,0.008174386920980914,11.1,115.0,7.646,879,397.0,1277.0,2.51,US,MACERICH CO/THE,REITS,REITS,2384013841.961853,355.7041,2.088,12.0,11.08,-0.18018018018017634,0.6,0.15,11082022,7.940000057220459,-0.3345882359398015,62.011381228700294,30.57319106674633,17.25,11,Nov,5.41,45.17,Malls,USD,Small
24,LI SBF,0,,20.35,78.0,13.0671,"1,019",568.0,1587.0,3.08,FR,KLEPIERRE,REITS,REITS,5837624776.632302,66.62351,1.7842099999999999,17.0,21.59,6.093366093366085,0.0,0.0,01011970,17.899999618530273,,50.900498306390475,26.158174063896073,0.0,1,Jan,0.0,55.73,,EUR,Medium
25,LAC,-16,-0.011512504962286587,24.9,55.0,7.5089999999999995,413,957.0,1370.0,2.69,CA,LITHIUM AMERICAS CORP,Basic Materials,Lithium producers,3352933767.368003,,1.3617299999999999,6.0,37.67,51.28514056224901,0.0,0.0,01011970,26.229999542236328,-0.14491760706091006,96.54637696385392,58.2754745601415,0.0,1,Jan,0.0,231.6,,USD,Small
26,EQX,3,0.014749262536873102,3.44,50.0,6.187,309,-137.0,172.0,0.34,CA,EQUINOX GOLD CORP,Basic Materials,Gold Miners,1049391787.6106193,0.0,0.80742,1.0,3.69,7.267441860465117,0.0,0.0,01011970,3.650000095367432,-0.491124277584676,76.48131341653888,39.699922068451905,0.0,1,Jan,0.0,-44.4,,USD,Micro
27,COIN,-16,-0.07451089218815046,66.7,3.0,221.74200000000002,665,-465.0,200.0,0.39,US,COINBASE GLOBAL INC -CLASS A,Financial,Bitcoin,15028391563.75746,,,24.0,95.04,42.488755622188904,0.0,0.0,01011970,64.48999786376953,-0.7357055066350975,191.45133136078343,47.818938290498885,0.0,1,Jan,0.0,-69.92,,USD,Micro
28,GRPN,-7,-0.011873350923482831,7.49,85.0,7.148,608,30.0,637.0,1.25,US,GROUPON INC,Communications,Internet,226755204.61741424,,1.9837799999999999,4.0,14.0,86.91588785046729,0.0,0.0,01011970,7.960000038146973,-0.6765975799072844,96.32952694797798,42.27270448362192,0.0,1,Jan,0.0,4.78,,USD,Small
29,FSM,-56,-0.0177304964539008,2.77,1115.0,3.4539999999999997,"3,851",-762.0,3089.0,6.07,CA,FORTUNA SILVER MINES INC,Basic Materials,Gold Miners,807340304.6875001,0.0,1.23133,,,,0.0,0.0,01011970,2.5199999809265137,-0.28974360711162256,77.45870857931689,48.80204610198111,0.0,1,Jan,0.0,-19.8,,USD,Large
30,KGC,-78,-0.016393442622950834,3.6,1306.0,4.8919999999999995,"6,388",-1687.0,4702.0,9.23,CA,KINROSS GOLD CORP,Basic Materials,Gold Miners,4680232771.084336,620.6478,0.93995,15.0,5.54,53.888888888888886,0.0,0.0,01011970,3.759999990463257,-0.3672910358395956,59.50749655030965,32.74752214850995,0.0,1,Jan,0.0,-26.41,,USD,Large
