Financial Instrument,index,Last,Position,Avg Price,Cost Basis,Unrealized P&L,Market Value,% of Net Liq,Issuer Country ,Company Name,Sector,Industry,Dividends,Dividend Amount,Dividend Date,Prior Month Close,Year To Date Change%,52 Week HV High,52 Week HV Low,Unnamed: 27,Next_div_receiveable,Unrealized PnL,Date,Month,Dividend yield %,PnL %,REIT sector,CCY,Position_Size,YE_price,YtD price return,ME_price,MtD price return,Rate,Last in USD,Avg Price in USD,Cost Basis in USD,Unrealized PnL in USD,Market Value in USD,Dividends in USD,Next_div_receiveable in USD
VOD,10,8.5,66.0,13.764,908.0,-351.0,558.0,0.73,GB,VODAFONE GROUP PLC-SP ADR,Communications,Telecommunications,0.96,0.48,06072024,8.9,'-0.022988484327568063,35.44206204211867,17.99391348670001,,31.68,-38.66,6,Jun,11.29,-38.24,,USD,Micro,8.7,-2.3,8.9,-4.49,1.0,8.5,13.764,908.0,-38.66,558.0,0.96,31.68
EPR,11,40.59,62.0,39.451,2446.0,71.0,2517.0,3.31,US,EPR PROPERTIES,REITS,REITS,3.42,0.285,05312024,42.45,'-0.1457703908064801,26.872048171901756,16.691728224739357,,17.669999999999998,2.9,5,May,8.43,2.89,Net Lease,USD,Medium,48.45,-16.22,42.45,-4.38,1.0,40.59,39.451,2446.0,2.9,2517.0,3.42,17.669999999999998
CCI,12,93.78,20.0,104.165,2083.0,-208.0,1876.0,2.47,US,CROWN CASTLE INC,REITS,REITS,6.26,1.565,06142024,105.83,'-0.18586684597299913,34.390375834467854,18.15186437945775,,31.299999999999997,-9.99,6,Jun,6.68,-9.97,Specialty,USD,Small,115.2,-18.59,105.83,-11.39,1.0,93.78,104.165,2083.0,-9.99,1876.0,6.26,31.299999999999997
RICK,13,50.76,50.969,71.327,3635.0,-1048.0,2587.0,3.41,US,RCI HOSPITALITY HOLDINGS INC,"Consumer, Cyclical",REITS,0.24,0.06,06122024,58.0,'-0.23392697912026156,39.11034242262628,20.57494996960186,,3.05814,-28.83,6,Jun,0.47,-28.83,Night Club,USD,Medium,66.26,-23.39,58.0,-12.48,1.0,50.76,71.327,3635.0,-28.83,2587.0,0.24,3.05814
GMRE,14,8.11,200.0,7.689,1538.0,84.0,1622.0,2.14,US,GLOBAL MEDICAL REIT INC,REITS,REITS,0.84,0.21,06242024,8.75,'-0.26936939447868974,32.3000195059137,18.16218381215849,,42.0,5.46,6,Jun,10.36,5.48,Healthcare,USD,Small,11.1,-26.94,8.75,-7.31,1.0,8.11,7.689,1538.0,5.46,1622.0,0.84,42.0
ADC,15,57.22,67.0,57.835,3875.0,-41.0,3834.0,5.05,US,AGREE REALTY CORP,REITS,REITS,3.0,0.25,05312024,57.12,'-0.07920566487040762,23.169320401433215,12.526890935588147,,16.75,-1.06,5,May,5.24,-1.06,Net Lease,USD,Medium,62.95,-9.1,57.12,0.18,1.0,57.22,57.835,3875.0,-1.06,3834.0,3.0,16.75
VICI,16,28.55,88.0,28.89,2542.0,-30.0,2512.0,3.31,US,VICI PROPERTIES INC,REITS,REITS,1.66,0.415,06202024,29.79,'-0.10445417968720316,22.93453704477508,13.960677054629562,,36.519999999999996,-1.18,6,Jun,5.81,-1.18,Net Lease,USD,Medium,31.75,-10.08,29.79,-4.16,1.0,28.55,28.89,2542.0,-1.18,2512.0,1.66,36.519999999999996
MPW,17,4.62,306.0,16.656,5097.0,-3683.0,1414.0,1.86,US,MEDICAL PROPERTIES TRUST INC,REITS,REITS,0.6,0.15,06132024,4.7,'-0.059063107214750346,101.97418567070294,30.361583559231,,45.9,-72.26,6,Jun,12.99,-72.26,Healthcare,USD,Small,4.93,-6.29,4.7,-1.7,1.0,4.62,16.656,5097.0,-72.26,1414.0,0.6,45.9
SAFE,18,18.24,140.0,23.53,3294.0,-741.0,2554.0,3.36,US,SAFEHOLD INC,REITS,REITS,0.708,0.177,06282024,20.6,'-0.22051280780552274,47.45636546608697,30.109813056192987,,24.779999999999998,-22.5,6,Jun,3.88,-22.48,Ground lease,USD,Medium,23.4,-22.05,20.6,-11.46,1.0,18.24,23.53,3294.0,-22.5,2554.0,0.708,24.779999999999998
ARE,19,115.87,28.0,116.658,3266.0,-22.0,3244.0,4.27,US,ALEXANDRIA REAL ESTATE EQUIT,REITS,REITS,5.08,1.27,06282024,128.91,'-0.08598246376669419,36.44040949719393,19.11401842021398,,35.56,-0.67,6,Jun,4.38,-0.68,Office in science,USD,Medium,126.77,-8.6,128.91,-10.12,1.0,115.87,116.658,3266.0,-0.67,3244.0,5.08,35.56
IAUX,20,1.18,3100.0,1.957,6066.0,-2408.0,3658.0,4.82,CA,I-80 GOLD CORP,Basic Materials,Gold Miners,0.0,0.0,01012000,1.34,'-0.3295454509125267,80.70393657195673,42.979118440136496,,0.0,-39.7,1,Jan,0.0,-39.7,,USD,Medium,1.79,-34.08,1.34,-11.94,1.0,1.18,1.957,6066.0,-39.7,3658.0,0.0,0.0
BTG,21,2.54,2708.0,3.118,8441.0,-1563.0,6878.0,9.06,CA,B2GOLD CORP,Basic Materials,Gold Miners,0.16,0.04,06142024,2.61,'-0.19620255347800258,44.7797648269755,28.165028736441943,,108.32000000000001,-18.52,6,Jun,6.3,-18.54,,USD,Large,3.17,-19.87,2.63,-3.42,1.0,2.54,3.118,8441.0,-18.52,6878.0,0.16,108.32000000000001
MAC,22,13.76,115.0,7.646,879.0,702.0,1581.0,2.08,US,MACERICH CO/THE,REITS,REITS,0.68,0.17,05172024,17.23,'-0.10823073701531961,46.481034189849126,27.48035951003661,,19.55,79.86,5,May,4.94,79.96,Malls,USD,Small,15.43,-10.82,17.23,-20.14,1.0,13.76,7.646,879.0,79.86,1581.0,0.68,19.55
